Entity,Code,Year,Share of the richest decile in total income or expenditure
Turkey,TUR,2015,33.45910735
Senegal,SEN,2001,33.44485895
Dominican Republic,DOM,2014,33.37900418
Kenya,KEN,1994,33.37301257
Indonesia - urban,,2013,33.32346711
Uruguay - urban,,1981,33.31595197
Iran,IRN,2005,33.31292736
Paraguay,PRY,2020,33.3051702
Iran,IRN,1994,33.29264489
Peru,PER,2012,33.25385907
Costa Rica,CRI,1989,33.25066081
El Salvador,SLV,2010,33.23034853
Peru,PER,1994,33.21221166
South Sudan,SSD,2009,33.20374011
Argentina - urban,,1993,33.2013892
Malaysia,MYS,2011,33.18693983
Venezuela,VEN,2006,33.18656956
Thailand,THA,2002,33.17715713
Philippines,PHL,2006,33.15647546
Gabon,GAB,2005,33.14599264
Tanzania,TZA,2018,33.12075786
Dominican Republic,DOM,2019,33.10777501
Morocco,MAR,2006,33.10082582
Cameroon,CMR,2007,33.03795428
Costa Rica,CRI,1990,33.00320911
Indonesia,IDN,2015,32.99365134
Philippines,PHL,2012,32.9389158
Indonesia,IDN,2013,32.92033328
Fiji,FJI,2008,32.90755924
Indonesia,IDN,2012,32.90158926
Lesotho,LSO,2017,32.89834079
Peru,PER,2020,32.89828664
Togo,TGO,2018,32.88085175
Uganda,UGA,2012,32.87115931
Sao Tome and Principe,STP,2017,32.86628737
Malawi,MWI,2004,32.83021069
Algeria,DZA,1988,32.81236515
China - rural,,2010,32.7884317
Cote d'Ivoire,CIV,1995,32.78381856
Russia,RUS,2007,32.76964769
Turkey,TUR,2005,32.76411853
El Salvador,SLV,2011,32.75364928
Philippines,PHL,1985,32.73485268
Cote d'Ivoire,CIV,2002,32.71213417
Burundi,BDI,1998,32.70388158
Philippines,PHL,2009,32.69212161
Sri Lanka,LKA,2002,32.69037526
Peru,PER,2013,32.6877589
Ghana,GHA,2005,32.68618326
Jamaica,JAM,1996,32.67744667
Uzbekistan,UZB,1998,32.6698106
Cote d'Ivoire,CIV,2008,32.64326659
Togo,TGO,2006,32.64200686
Indonesia,IDN,2011,32.641446
Mauritania,MRT,2004,32.63371426
China,CHN,2010,32.63252941
Turkey,TUR,2018,32.62392452
Bulgaria,BGR,2018,32.61934793
Peru,PER,2015,32.61077392
El Salvador,SLV,2012,32.58991644
Bolivia,BOL,2020,32.57501343
Sri Lanka,LKA,2016,32.56268442
Peru,PER,2016,32.55767706
Indonesia,IDN,2014,32.51124748
Samoa,WSM,2002,32.50674233
Philippines,PHL,2003,32.49649287
Iran,IRN,2018,32.49233381
Venezuela,VEN,1989,32.48978889
Thailand,THA,2006,32.48851794
Russia,RUS,2008,32.4870358
Micronesia (country),FSM,2005,32.48062322
Saint Lucia,LCA,1995,32.4802867
Niger,NER,1994,32.47347871
Russia,RUS,2013,32.4486512
Madagascar,MDG,2005,32.44397154
Chad,TCD,2011,32.43533581
Bolivia,BOL,2016,32.42976317
Argentina - urban,,2008,32.4076002
Turkey,TUR,2003,32.40597025
Democratic Republic of Congo,COD,2004,32.3958565
Sri Lanka,LKA,2006,32.32776008
Thailand,THA,1998,32.31338033
Angola,AGO,2008,32.3117339
Djibouti,DJI,2017,32.30983302
Cape Verde,CPV,2015,32.30222161
Peru,PER,2017,32.29961993
India - urban,,2019,32.28674878
Uruguay - urban,,1989,32.22919939
Bhutan,BTN,2003,32.21764764
Ghana,GHA,2016,32.21116922
Argentina - urban,,1986,32.20808276
Uruguay - urban,,2000,32.19768394
North Macedonia,MKD,2006,32.17793254
Russia,RUS,2012,32.16839253
El Salvador,SLV,2014,32.15091829
Peru,PER,2014,32.14093593
Morocco,MAR,2000,32.13316898
Turkey,TUR,2016,32.08926431
India - urban,,2017,32.06712894
Jamaica,JAM,1990,32.05186498
Burkina Faso,BFA,2009,32.04796096
Cote d'Ivoire,CIV,1987,32.03331022
Sierra Leone,SLE,2003,32.02410868
Bolivia,BOL,2017,32.0047253
Democratic Republic of Congo,COD,2012,31.99392234
Philippines,PHL,1988,31.96900017
China,CHN,2008,31.96597316
Turkey,TUR,1994,31.95953456
Mauritania,MRT,1987,31.95617823
United Kingdom,GBR,2000,31.93804797
Cote d'Ivoire,CIV,2015,31.93143421
Sri Lanka,LKA,2012,31.92858978
Tanzania,TZA,2007,31.92273564
Turkey,TUR,2017,31.91112916
Morocco,MAR,2013,31.88516492
Bulgaria,BGR,2017,31.88040592
Russia,RUS,2014,31.87125176
Turkey,TUR,2002,31.85955618
Morocco,MAR,1984,31.84375747
India - urban,,2011,31.82928475
El Salvador,SLV,2015,31.82663851
Malaysia,MYS,2013,31.82160298
China,CHN,2011,31.81848402
India - urban,,2009,31.75227487
Tunisia,TUN,1995,31.74940973
Ghana,GHA,2012,31.7476192
Bolivia - urban,,1990,31.74087018
Guinea,GIN,1991,31.73566074
Uruguay - urban,,1998,31.73530963
Myanmar,MMR,2015,31.70591147
Argentina - urban,,2010,31.70011079
Iran,IRN,2019,31.69152434
Armenia,ARM,2004,31.68836838
Indonesia - urban,,2016,31.67703617
Peru,PER,2018,31.62443077
Uruguay,URY,2011,31.62165137
Turkey,TUR,2019,31.6170241
Mauritius,MUS,2012,31.60764805
Turkey,TUR,2014,31.60513846
Venezuela,VEN,1992,31.59899572
Tunisia,TUN,2000,31.56528627
Togo,TGO,2015,31.56357197
Kenya,KEN,2015,31.56148317
China,CHN,2012,31.54291419
Turkmenistan,TKM,1998,31.52212229
Nicaragua,NIC,2005,31.50901576
China - rural,,2008,31.48128027
China - rural,,2012,31.45990271
Philippines,PHL,2015,31.45244311
Bulgaria,BGR,2016,31.43963824
China,CHN,2002,31.43083138
Bulgaria,BGR,2019,31.40421368
Uruguay - urban,,1992,31.38345389
Niger,NER,2007,31.37488585
Russia,RUS,2005,31.37008022
Nigeria,NGA,1992,31.36325854
Estonia,EST,1993,31.34571704
Uganda,UGA,1996,31.3411054
Samoa,WSM,2013,31.28358182
Russia,RUS,2006,31.2784481
Malaysia,MYS,2015,31.27335194
Iran,IRN,2017,31.27277503
Indonesia - urban,,2021,31.2727168
Iran,IRN,2009,31.27090922
Argentina - urban,,2009,31.24950316
Laos,LAO,2018,31.24705906
Haiti,HTI,2012,31.19743725
Uruguay - urban,,1997,31.17483376
Georgia,GEO,1998,31.15947669
United States,USA,2006,31.1539423
Peru,PER,2019,31.14804634
Trinidad and Tobago,TTO,1988,31.14383214
Niger,NER,2018,31.13769706
Thailand,THA,2008,31.13423828
Benin,BEN,2003,31.11584258
Russia,RUS,2011,31.10608832
India - urban,,2016,31.10221477
India - urban,,2015,31.10096811
Russia,RUS,2009,31.08224536
Israel,ISR,2010,31.06518113
Senegal,SEN,2011,31.04611823
Burundi,BDI,2013,31.02453208
Argentina - urban,,2019,31.01456863
Indonesia,IDN,2016,31.00816914
Papua New Guinea,PNG,2009,30.99993916
Malawi,MWI,2019,30.97639984
Argentina - urban,,2011,30.95709935
Tanzania,TZA,2011,30.95164202
Vietnam,VNM,2010,30.87298388
Portugal,PRT,2004,30.87220462
Cyprus,CYP,2013,30.87124615
China,CHN,2005,30.8615603
Iran,IRN,2016,30.85290813
China - rural,,2002,30.8499156
Bolivia,BOL,2019,30.84800091
Morocco,MAR,1998,30.84567019
Thailand,THA,2007,30.83602255
Turkey,TUR,2004,30.83167332
Tuvalu,TUV,2010,30.77859032
United States,USA,2005,30.77717729
Armenia,ARM,2005,30.77605822
Djibouti,DJI,2002,30.77415015
United States,USA,2019,30.77204637
China - rural,,2011,30.76360449
Paraguay,PRY,1990,30.7522307
United States,USA,2018,30.74962695
Bhutan,BTN,2012,30.73817953
North Macedonia,MKD,2009,30.73584483
Indonesia - urban,,2017,30.7173979
Thailand,THA,2010,30.71686385
Chad,TCD,2003,30.71005215
Tunisia,TUN,1990,30.69411137
Morocco,MAR,1990,30.67414775
El Salvador,SLV,2016,30.65293401
United States,USA,2014,30.65241345
India,IND,2019,30.62390803
United States,USA,2001,30.62178407
Russia,RUS,2010,30.61286462
Thailand,THA,2009,30.60277794
Bolivia,BOL,2018,30.58844643
Turkey,TUR,2013,30.57926683
Portugal,PRT,2005,30.57785616
Iran,IRN,2015,30.56015368
Uruguay - urban,,1995,30.52373822
Senegal,SEN,2018,30.51485472
Turkey,TUR,2012,30.50446949
Turkey,TUR,2011,30.49967659
India,IND,2017,30.49848688
United States,USA,2015,30.49541757
Indonesia - urban,,2018,30.49437247
Russia,RUS,2004,30.49040179
Israel,ISR,2009,30.47862116
Dominican Republic,DOM,2020,30.45242149
Israel,ISR,2005,30.43386047
Thailand,THA,2012,30.42985632
United States,USA,2016,30.4203687
Argentina - urban,,2016,30.41932492
